Id;Name;Nation;Estimated Value;Club Playing;Division Playing;Club Contracted;Division Contracted;Positions Short;Birth Town;Date Of Birth;Age;Handedness;Junior Preference;Morale;Squad Number;Determination;Goaltender;Left Defense;Right Defense;Left Wing;Center;Right Wing;Aggression;Anticipation;Bravery;Flair;Influence;Teamwork;Creativity;Work Rate;Acceleration;Agility;Balance;Fighting;Hitting;Speed;Stamina;Strength;Checking;Deflections;Deking;Faceoffs;Off The Puck;Passing;Pokecheck;Positioning;Slapshot;Stickhandling;Wristshot;Blocker;Glove;Rebound Control;Recovery;Reflexes;
1;Franz Grafschafter;Austria;1812;FBI VEU Feldkirch Jrs;Austrian Juniors;FBI VEU Feldkirch Jrs;Austrian Juniors;G;Innsbruck;7/3/2002;17;Left Handed;None;20;39;6;20;1;1;1;1;1;9;3;14;1;1;13;1;9;7;9;10;1;1;7;8;3;1;1;1;1;1;3;3;5;1;5;1;6;3;4;1;7;
2;Robert Malloy;Australia;4505;Newcastle North Stars;AIHL;Newcastle North Stars;AIHL;LD;Cheshire;11/20/1986;33;Right Handed;None;20;0;15;1;20;10;1;1;1;8;7;5;8;5;7;7;6;9;11;6;1;3;9;4;6;6;3;3;3;5;8;8;11;4;5;3;1;1;1;1;1;
4;Nathan Walker;Australia;15000;Nottingham Panthers;Elite League;Nottingham Panthers;Elite League;LW, C;Cardiff;2/7/1994;26;Left Handed;Europe;18;12;12;1;1;1;20;16;12;7;8;5;8;7;10;10;10;10;9;8;8;7;10;6;8;8;8;7;6;6;10;10;9;9;8;10;1;1;1;1;1;
5;Lliam Webster;Australia;4511;Sydney Bears;AIHL;Sydney Bears;AIHL;RW;Melbourne;2/19/1986;34;Left Handed;None;20;11;14;1;1;1;12;9;20;8;7;12;9;7;7;7;11;2;2;7;5;8;3;7;11;6;6;4;5;6;4;6;7;4;4;5;1;1;1;1;1;
6;Oliver Achermann;Austria;33087;SC Bern;National League A;SC Bern;National League A;C;Mauensee;1/16/1994;26;Right Handed;Europe;11;0;18;1;1;1;12;20;14;11;10;7;11;9;10;7;8;8;8;9;4;13;8;9;13;12;6;6;11;7;6;4;7;7;7;7;1;1;1;1;1;
8;Mario Altmann;Austria;20847;EV Vienna Capitals;Erste Bank Eishockey Liga;EV Vienna Capitals;Erste Bank Eishockey Liga;LD, RD;Vienna;11/4/1986;33;Left Handed;Europe;19;41;10;1;20;18;1;1;1;8;7;13;5;10;10;5;12;8;7;10;2;7;9;9;13;10;7;6;1;3;5;11;13;7;4;6;1;1;1;1;1;
9;Marc Alain Leone;Canada;1500;Notre Dame Argos Midget AAA;SMAAAHL;Notre Dame Argos Midget AAA;SMAAAHL;LW, RW;Kinistino;1/28/2004;16;Left Handed;None;20;13;14;1;1;1;20;12;19;13;5;12;3;8;13;11;13;13;8;8;3;6;14;13;8;12;6;7;4;6;7;10;9;6;3;9;1;1;1;1;1;
10;Maxim Habarov;Estonia;917;HK Tornaado Tallin C-Jrs;Fin C-Jr Second;HK Tornaado Tallin C-Jrs;Fin C-Jr Second;LW, RW;Tallinn;10/29/2003;16;Left Handed;None;18;11;13;1;1;1;20;9;17;10;6;11;8;9;3;4;7;7;7;7;3;6;7;14;12;5;8;4;1;6;2;1;4;5;3;8;1;1;1;1;1;
11;Markus Bacher;Austria;2797;EC Spar Oilers Salzburg;Oberliga;EC Spar Oilers Salzburg;Oberliga;G;---;7/27/1987;32;Left Handed;None;20;35;4;20;1;1;1;1;1;8;6;6;8;7;4;1;7;4;6;7;1;1;4;4;6;1;1;1;1;1;4;7;8;1;4;1;7;7;5;7;5;
12;Stefan Bacher;Austria;19582;EHC Black Wings Linz;Erste Bank Eishockey Liga;EHC Black Wings Linz;Erste Bank Eishockey Liga;LD, RD;Villach;7/4/1989;30;Right Handed;Europe;20;19;13;1;18;20;1;1;1;9;6;13;5;9;9;5;10;8;8;11;1;10;9;7;12;12;5;5;5;6;5;10;11;7;4;4;1;1;1;1;1;
13;Florian Baltram;Austria;20847;EV Vienna Capitals;Erste Bank Eishockey Liga;EV Vienna Capitals;Erste Bank Eishockey Liga;C;Vienna;3/25/1997;22;Left Handed;Major Junior;17;21;19;1;1;1;14;20;9;1;14;10;5;7;10;14;13;7;9;6;1;1;10;8;4;3;4;10;8;8;5;5;4;5;8;10;1;1;1;1;1;
14;Jirí Jindrich;Czech Republic;17250;HC Sparta Praha Jrs;Czech Junior Liga;HC Sparta Praha;Czech Extraliga;G;Bohumín;6/10/2002;17;Left Handed;None;20;38;5;20;1;1;1;1;1;3;6;17;1;13;13;1;18;8;9;8;1;1;8;13;11;1;1;1;1;1;4;7;8;1;7;1;5;6;5;5;5;
15;Daniel Ban;Austria;19582;EHC Black Wings Linz;Erste Bank Eishockey Liga;EHC Black Wings Linz;Erste Bank Eishockey Liga;RW;Klagenfurt;11/11/1993;26;Left Handed;Europe;13;0;13;1;1;1;12;9;20;8;7;12;8;9;11;5;11;10;11;6;1;5;10;9;5;9;9;6;4;4;6;8;10;3;6;5;1;1;1;1;1;
16;Sascha Bauer;Austria;12415;EC Die Adler Kitzbühel;Alps League;EC Die Adler Kitzbühel;Alps League;LW;---;1/30/1995;25;Left Handed;None;20;0;10;1;1;1;20;9;12;1;10;9;12;6;6;8;4;10;8;5;1;3;10;8;7;4;7;9;3;10;6;4;5;8;7;12;1;1;1;1;1;
17;Benjamin Baumgartner;Austria;20847;EV Vienna Capitals;Erste Bank Eishockey Liga;EV Vienna Capitals;Erste Bank Eishockey Liga;C;Zell am See;4/22/2000;19;Left Handed;Europe;13;0;13;1;1;1;12;20;12;8;13;10;9;11;8;12;10;17;9;8;3;2;18;13;8;2;3;11;9;9;5;3;1;3;13;9;1;1;1;1;1;
