Id;Name;Club Playing;Club Contracted;Positions Short;Age;Handedness;Squad Number;Determination;Aggression;Anticipation;Bravery;Flair;Influence;Teamwork;Creativity;Work Rate;Acceleration;Agility;Balance;Hitting;Speed;Stamina;Strength;Checking;Deflections;Deking;Faceoffs;Off The Puck;Passing;Pokecheck;Positioning;Slapshot;Stickhandling;Wristshot;Blocker;Glove;Rebound Control;Recovery;Reflexes;
1;Franz Grafschafter;EC Graz 99ers;EC Graz 99ers;G;18;Left Handed;39;6;9;3;14;1;1;13;1;9;7;9;10;1;7;9;3;1;1;1;1;1;3;3;5;1;5;1;6;3;4;1;7;
2;Robert Malloy;Newcastle North Stars;Newcastle North Stars;LD;33;Right Handed;0;15;8;6;4;8;5;7;6;5;9;11;6;3;9;4;6;5;3;3;2;5;7;7;10;4;4;3;1;1;1;1;1;
4;Nathan Walker;Nottingham Panthers;Nottingham Panthers;LW, C;26;Left Handed;12;12;7;8;5;8;7;9;10;10;9;8;7;7;9;5;7;8;8;6;6;6;10;9;9;9;8;10;1;1;1;1;1;
5;Lliam Webster;Sydney Bears;Sydney Bears;RW;34;Left Handed;11;14;8;7;11;9;7;6;7;10;2;2;5;8;2;6;10;6;6;4;5;6;4;5;7;4;4;5;1;1;1;1;1;
6;Oliver Achermann;SC Bern;SC Bern;C;26;Right Handed;0;18;11;10;7;11;9;10;7;8;8;8;9;13;8;9;13;12;6;6;11;7;6;4;7;7;7;7;1;1;1;1;1;
8;Mario Altmann;EC Graz 99ers;EC Graz 99ers;LD, RD;33;Left Handed;41;10;8;7;13;5;10;10;5;12;8;7;10;7;9;9;13;9;6;6;1;3;5;10;12;7;4;5;1;1;1;1;1;
9;Marc Alain Leone;Prince George Cougars;Prince George Cougars;LW, RW;16;Left Handed;13;14;13;5;12;3;8;13;11;13;15;8;8;7;16;15;11;13;6;8;5;7;8;11;9;7;3;9;1;1;1;1;1;
10;Maxim Habarov;HC Viking/TSK U20;HC Viking/TSK U20;LW, RW;16;Left Handed;11;13;10;6;11;8;9;3;4;7;7;7;8;6;7;14;14;5;8;5;1;6;2;1;4;5;3;8;1;1;1;1;1;
11;Markus Bacher;EC Spar Oilers Salzburg;EC Spar Oilers Salzburg;G;33;Left Handed;35;4;8;5;5;8;7;4;1;6;3;5;6;1;3;3;5;1;1;1;1;1;4;7;8;1;4;1;6;6;5;6;4;
12;Stefan Bacher;EC Villacher SV;EC Villacher SV;LD, RD;31;Right Handed;19;13;9;6;13;5;9;9;4;10;8;8;11;10;9;7;12;12;5;5;5;6;5;10;11;6;4;4;1;1;1;1;1;
13;Florian Baltram;EVZ Academy;EVZ Academy;C;23;Left Handed;21;19;1;14;10;5;7;10;14;13;7;9;6;1;10;8;4;3;4;10;9;8;5;5;5;5;8;10;1;1;1;1;1;
14;Jirí Jindrich;HC Sparta Praha Jrs;HC Sparta Praha;G;18;Left Handed;38;5;3;6;17;1;13;13;1;18;8;10;8;1;8;13;11;1;1;1;1;1;5;8;9;1;8;1;6;7;5;6;5;
15;Daniel Ban;EHC Alge Elastic Lustenau;EHC Alge Elastic Lustenau;RW;26;Left Handed;0;13;8;7;12;8;9;10;5;10;9;10;5;5;9;8;5;8;8;5;3;3;6;8;10;3;5;4;1;1;1;1;1;
16;Sascha Bauer;EC Die Adler Kitzbühel;EC Die Adler Kitzbühel;LW;25;Left Handed;0;10;1;9;9;12;6;6;8;4;10;8;4;3;10;8;7;4;7;9;3;9;5;4;5;7;6;11;1;1;1;1;1;
17;Benjamin Baumgartner;Los Angeles Kings;Los Angeles Kings;C;20;Left Handed;0;13;8;13;10;9;11;8;12;10;17;9;8;2;18;13;8;2;3;11;9;9;5;3;1;3;13;9;1;1;1;1;1;
19;Georgy Kalyuzhny;Shakhter Soligorsk;Shakhter Soligorsk;C;19;Right Handed;77;11;9;14;12;8;9;10;12;13;10;10;7;6;10;10;6;2;11;3;7;9;3;2;5;5;1;10;1;1;1;1;1;
20;Patrick Berr;EC Spar Oilers Salzburg;EC Spar Oilers Salzburg;LW;26;Left Handed;0;7;1;5;12;7;10;8;6;5;9;10;3;2;6;9;8;7;6;4;1;4;5;4;8;4;1;5;1;1;1;1;1;
21;Johannes Bischofberger;Hamburger SV;Hamburger SV;LW;26;Left Handed;94;7;9;9;4;10;6;7;11;6;7;7;3;3;7;10;1;4;5;9;1;8;8;4;5;4;8;6;1;1;1;1;1;
22;Vince Farnham;Buffalo Regals;Buffalo Regals;C;17;Left Handed;56;13;8;9;7;13;4;6;8;5;11;6;7;1;6;8;5;1;7;4;6;5;8;3;2;2;4;7;1;1;1;1;1;
23;Marco Brucker;EC Graz 99ers;EC Graz 99ers;C;29;Right Handed;89;7;10;7;6;11;10;8;5;7;4;6;3;4;5;7;6;8;4;7;7;6;6;6;10;7;6;5;1;1;1;1;1;
24;Mark Brunnegger;EC Villacher SV;EC Villacher SV;LD, RD, LW;34;Left Handed;88;9;16;6;10;7;10;10;5;12;5;3;6;9;8;8;9;7;3;5;1;5;3;7;9;8;1;6;1;1;1;1;1;
25;Nico Brunner;FBI VEU Feldkirch;FBI VEU Feldkirch;LD;27;Left Handed;0;9;8;4;4;10;8;6;4;6;4;3;9;13;6;6;7;10;5;5;4;6;9;9;10;5;6;5;1;1;1;1;1;
26;Tobias Kink;EHC Bayreuth;EHC Bayreuth;RD, RW;18;Left Handed;8;8;3;5;9;10;12;14;5;8;8;6;9;9;8;9;15;10;3;5;2;2;2;9;9;5;2;3;1;1;1;1;1;
27;Alexander Cijan;Ermak Angarsk;Ermak Angarsk;LW, C, RW;26;Left Handed;0;17;8;8;16;10;9;8;7;10;11;11;9;5;11;11;9;11;7;9;5;8;5;8;11;8;3;7;1;1;1;1;1;
28;Philipp Cirtek;EC Spar Oilers Salzburg;EC Spar Oilers Salzburg;LW;26;Left Handed;0;5;6;4;11;9;8;5;4;7;4;6;3;7;6;5;10;7;5;8;1;4;5;4;5;4;3;6;1;1;1;1;1;
29;Reizo Ogasawara;Linköping HC J20;Linköping HC J20;LW;18;Right Handed;16;18;5;10;1;12;7;4;1;6;9;3;4;1;11;9;6;1;7;4;1;8;3;1;1;5;4;6;1;1;1;1;1;
30;Erasmo Marcoux;Guelph Storm;Guelph Storm;C;18;Left Handed;11;13;2;11;8;10;12;14;3;20;9;8;7;4;11;8;11;9;6;5;7;6;6;6;7;4;6;6;1;1;1;1;1;
31;Thomas Dechel;EC Red Bull Salzburg;EC Red Bull Salzburg;G;27;Left Handed;0;8;7;5;6;8;9;6;1;4;5;7;7;1;6;7;7;1;1;1;1;1;5;7;12;1;6;1;8;7;7;6;7;
32;Marco Del Fabro;DEK Klagenfurt Tarco Wölfe;DEK Klagenfurt Tarco Wölfe;G;32;Left Handed;0;15;5;5;5;5;7;4;1;5;4;4;3;1;4;4;3;1;1;1;1;1;6;7;9;1;5;1;7;5;5;4;3;
33;Dominik Dieber;EC Spar Oilers Salzburg;EC Spar Oilers Salzburg;G;24;Left Handed;0;9;5;2;18;6;13;19;1;19;2;6;9;1;3;7;1;1;1;1;1;1;1;2;7;1;1;1;1;1;3;1;4;
34;Florian Dinhopel;1. EV Weiden 1985;1. EV Weiden 1985;LW, RW;33;Right Handed;87;15;7;7;13;5;8;12;6;11;7;10;2;6;8;9;4;5;8;8;3;7;4;4;8;3;3;4;1;1;1;1;1;
36;Patrick Divjak;EC Villacher SV;EC Villacher SV;LW, RW;31;Left Handed;97;6;1;10;12;11;13;13;9;10;4;3;3;2;8;9;5;4;6;8;2;6;8;4;7;4;7;9;1;1;1;1;1;
