Id;Name;Nation;Second Nation;International Apps;International Goals;International Assists;Estimated Value;Club Playing;Division Playing;Club Contracted;Division Contracted;Positions Short;Stanley Cups Won;Birth Town;Date Of Birth;Age;Player Roles;Handedness;Junior Preference;Defensive Role;Offensive Role;Morale;Favourite Number;Squad Number;Int. Squad Number;Determination;Aggression;Anticipation;Bravery;Flair;Influence;Teamwork;Creativity;Work Rate;Acceleration;Agility;Balance;Hitting;Speed;Stamina;Strength;Checking;Deflections;Deking;Faceoffs;Off The Puck;Passing;Pokecheck;Positioning;Slapshot;Stickhandling;Wristshot;Blocker;Glove;Rebound Control;Recovery;Reflexes;
1;Artyom Polukhin;Russia;---;0;0;0;15808;Avangard Omsk U17;Russia U17;Avangard Omsk U17;Russia U17;C;0;Omsk;12/26/2007;16;(C) Defensive;Left Handed;None;18;6;20;65;65;65;6;1;3;6;10;5;5;3;9;8;5;13;7;12;10;9;8;3;3;7;3;4;7;7;2;1;4;1;1;1;1;1;
2;Nicolas Mathieu;Canada;---;0;0;0;4062;Séminaire St-François Blizzard;QMHL;Séminaire St-François Blizzard;QMHL;G;0;Laval;4/28/2008;15;(G) Butterfly style;Left Handed;None;20;1;20;37;37;37;16;8;7;14;6;12;11;1;12;10;10;12;1;5;6;10;1;1;1;1;1;3;7;8;1;3;1;6;8;2;10;7;
4;Nathan Walker;Australia;Great Britain;35;12;9;15000;Nottingham Panthers;Elite League;Nottingham Panthers;Elite League;LW, C;0;Cardiff;2/7/1994;30;(W) Playmaker;Left Handed;Europe;12;14;19;0;12;13;12;7;9;4;8;8;8;11;9;8;7;6;6;8;4;6;7;7;6;5;5;9;8;8;8;7;9;1;1;1;1;1;
5;Logan Neilson;Canada;---;0;0;0;16795;North Bay Battalion;OHL;North Bay Battalion;OHL;C;0;Thunder Bay;8/21/2006;17;(C) Grinder;Left Handed;None;15;10;20;11;11;11;14;9;4;6;6;9;11;4;14;7;9;10;9;10;13;11;10;8;2;10;2;5;6;10;6;5;3;1;1;1;1;1;
6;Oliver Achermann;Austria;Switzerland;53;11;8;22412;EC Red Bull Salzburg;Erste Bank Eishockey Liga;EC Red Bull Salzburg;Erste Bank Eishockey Liga;C;0;Mauensee;1/16/1994;30;(C) Defensive;Right Handed;Europe;13;14;20;0;0;18;18;11;9;6;11;8;9;6;7;7;7;8;12;7;8;12;11;5;5;11;6;6;4;9;6;6;6;1;1;1;1;1;
8;Wiley White;United States;---;0;0;0;1312;San Jose Junior Sharks;CAHA;San Jose Junior Sharks;CAHA;LD;0;Fresno;9/1/2008;15;(D) Standard;Left Handed;None;15;6;20;5;5;5;11;10;2;1;8;2;18;2;15;6;6;11;6;7;8;6;7;1;1;1;2;3;7;6;1;3;3;1;1;1;1;1;
9;Marc Alain Leone;Canada;---;0;0;0;75457;Utica Comets;AHL;Vancouver Canucks;NHL;LW, RW;0;Kinistino;1/28/2004;20;(W) Defensive;Left Handed;None;13;13;7;13;13;13;14;13;5;12;3;8;13;11;13;17;8;10;8;16;16;17;15;8;9;6;9;11;13;11;7;5;10;1;1;1;1;1;
10;Maxim Habarov;Estonia;---;25;2;2;1666;Viru Sputnik U20;Est U20;Viru Sputnik U20;Est U20;LW, RW;0;Tallinn;10/29/2003;20;(W) Power Forward;Left Handed;None;10;13;14;11;11;14;13;10;6;11;8;9;3;4;7;7;6;10;6;7;13;19;5;8;5;1;6;3;1;4;6;3;8;1;1;1;1;1;
11;Léo Tardif;Canada;---;0;0;0;7250;Pictou County Weeks Crushers;MHL;Pictou County Weeks Crushers;MHL;C;0;Lévis;8/19/2006;17;(C) All around;Left Handed;None;13;14;17;69;69;69;4;1;9;16;2;9;18;11;16;8;7;7;1;10;9;8;4;3;3;9;6;4;3;7;4;4;9;1;1;1;1;1;
12;Stefan Bacher;Austria;---;34;1;8;20927;EC Klagenfurter AC;Erste Bank Eishockey Liga;EC Klagenfurter AC;Erste Bank Eishockey Liga;LD, RD;0;Villach;7/4/1989;34;(D) Defensive;Right Handed;Europe;14;11;20;19;19;19;13;9;5;12;5;7;8;3;9;5;4;7;9;5;3;8;11;4;4;4;5;4;9;10;5;3;3;1;1;1;1;1;
